District,x_cor,y_cor
Bagerhat,-80,-116
Bandarban,183,-157
Barguna,-28,-136
Barisal,-10,-45
Bhola,34,-105
Bogra,-90,124
Brahmanbaria,66,32
Chandpur,34,-27
Chapai Nawabganj,-192,109
Chattogram,129,-108
Chuadanga,-129,2
Comilla,63,-16
Cox's Bazar,150,-200
Dhaka,-11,22
Dinajpur,-147,200
Faridpur,-46,-16
Feni,92,-59
Gaibandha,-75,166
Gazipur,11,45
Gopalganj,-40,-51
Habiganj,96,78
Jamalpur,-42,122
jessore,-102,-50
Jhalokathi,-31,-84
Jhenaidah,-107,-11
Joypurhat,-113,148
Khagrachari,142,-46
Khulna,-78,-71
Kishoreganj,48,75
Kurigram,-62,199
Kushtia,-112,26
Lakshmipur,42,-36
Lalmonirhat,-82,220
Madaripur,-22,-39
Magura,-80,-19
Manikganj,-55,23
Meherpur,-144,17
Moulvibazar,132,85
Munshiganj,150,150
Mymensingh,6,101
Naogaon,-145,126
Narail,-69,-46
Narayanganj,18,12
Narsingdi,38,40
Natore,-114,72
Netrokona,49,112
Nilphamari,-126,228
Noakhali,65,-57
Pabna,-92,49
Panchagarh,-158,255
Patuakhali,8,-115
Pirojpur,-50,-82
Rajbari,-69,10
Rajshahi,-150,87
Rangamati,168,-86
Rangpur,-101,199
Satkhira,-111,-95
Shariatpur,3,-29
Sherpur,-19,137
Sirajganj,-69,78
Sunamganj,92,119
Sylhet,137,125
Tangail,-28,74
Thakurgaon,-173,232
